Обозначение,Наименование,Тип сигнала,Направление,Узел,Группа,Примечание
SQ4.1,Датчик закрытия ворот этаж 4,Дискретный (защ.),Вход,KSR + iR,Доступ/Безопасность,Двухканально; индикация на панелях
SQ5.1,Датчик закрытия ворот этаж 5,Дискретный (защ.),Вход,KSR + iR,Доступ/Безопасность,Двухканально; индикация на панелях
YL1,Замок ворот этаж 1,Дискретный 24В,Выход,iR-DO,Доступ,—
YL2,Замок ворот этаж 2,Дискретный 24В,Выход,iR-DO,Доступ,—
YL3,Замок ворот этаж 3,Дискретный 24В,Выход,iR-DO,Доступ,—
YL4,Замок ворот этаж 4,Дискретный 24В,Выход,iR-DO,Доступ,—
YL5,Замок ворот этаж 5,Дискретный 24В,Выход,iR-DO,Доступ,—
BL1,Лазерный сканер безопасности этаж 1,Дискретный (защ.),Вход,KSR,Безопасность,Контроль проёма
BL2,Лазерный сканер безопасности этаж 2,Дискретный (защ.),Вход,KSR,Безопасность,Контроль проёма
BL3,Лазерный сканер безопасности этаж 3,Дискретный (защ.),Вход,KSR,Безопасность,Контроль проёма
BL4,Лазерный сканер безопасности этаж 4,Дискретный (защ.),Вход,KSR,Безопасность,Контроль проёма
BL5,Лазерный сканер безопасности этаж 5,Дискретный (защ.),Вход,KSR,Безопасность,Контроль проёма
SF1,Кнопка аварийного останова,Дискретный (защ.),Вход,KSR,Безопасность,Двухканально; шкаф и зоны
Y_BUSY1,Индикация «место занято» этаж 1,Дискретный 24В,Выход,iR-DO,Индикация,Лампа/сигнал
Y_BUSY,Сводная индикация «место занято»,Тэг HMI,Выход,cMT,Индикация,На всех панелях
Y_GATE,Индикация «открыты ворота этаж N»,Тэг HMI,Выход,cMT,Индикация,На всех панелях
KSR_OK,Сигнал «Безопасно» от реле безопасности,Дискретный,Вход,iR-DI,Безопасность,Диагностика контура
STO1,Снятие момента ПЧ подъёма,Дискретный (защ.),Выход,KSR,Безопасность,Аппаратно
STO2,Снятие момента ПЧ вил,Дискретный (защ.),Выход,KSR,Безопасность,Аппаратно
